Familia,nombre_cientifico,nombre_comun,nombre_ingles,categoria_IUCN,categoria_MMA,status
Diomedeidae,Diomedea epomophora,Albatros real,Royal Albatross,Ver ssp.,Ver ssp.,NR
Diomedeidae,Diomedea epomophora epomophora,Albatros real del sur,,VU,VU,NR
Diomedeidae,Diomedea epomophora sanfordi,Albatros real del norte,,EN,EN,NR
Diomedeidae,Diomedea exulans,Albatros errante,Wandering Albatross,Ver ssp.,,NR
Diomedeidae,Diomedea exulans antipodensis,Albatros de las antípodas,,EN,EN,NR
Diomedeidae,Diomedea exulans exulans,Albatros errante,,VU,VU,NR
Thraupidae,Diuca diuca,Diuca común,Diuca Finch,LC,,X
Icteridae,Dolichonyx oryzivorus,Charlatán,Bobolink,LC,,E
Picidae,Dryobates lignarius,Carpinterito,Striped Woodpecker,LC,,X
Ardeidae,Egretta caerulea,Garza azul,Little Blue Heron,LC,,NR
Ardeidae,Egretta thula,Garza chica,Snowy Egret,LC,,X
Ardeidae,Egretta tricolor,Garza tricolor,Tricolored Heron,LC,,E
Tyrannidae,Elaenia albiceps,Fío-fío,White-crested Elaenia,LC,,X
Accipitridae,Elanus leucurus,Bailarín,White-tailed Kite,LC,,X
Tyrannidae,Empidonax alnorum / trailli,Mosqueta boreal / saucera,Alder / Willow Flycatcher,,,E
Tyrannidae,Empidonomus aurantioatrocristatus,Tuquito gris,Crowned Slaty Flycatcher,LC,,E
Psittacidae,Enicognathus ferrugineus,Cachaña,Austral Parakeet,LC,,X
Psittacidae,Enicognathus leptorhynchus,Choroy,Slender-billed Parakeet,LC,LC,X(e)
Tinamidae,Eudromia elegans,Perdiz copetona,Elegant Crested-Tinamou,LC,EN,X
Spheniscidae,Eudyptes chrysocome,Pingüino de penacho amarillo,Rockhopper Penguin,VU,,X
Spheniscidae,Eudyptes chrysolophus,Pingüino macaroni,Macaroni Penguin,VU,,X
Spheniscidae,Eudyptula minor,Pingüino azul,Little Penguin,LC,,E
Rhinocryptidae,Eugralla paradoxa,Churrín de la mocha,Ochre-flanked Tapaculo,LC,,X
Trochilidae,Eulidia yarrellii,Picaflor de Arica,Chilean Woodstar,CR,CR,X(e)
Falconidae,Falco deiroleucus,Halcón de pecho naranja,Orange-breasted Falcon,NT,,E
Falconidae,Falco femoralis,Halcón perdiguero,Aplomado Falcon,LC,,X
Falconidae,Falco peregrinus,Halcón peregrino,Peregrine Falcon,LC,LC,X
Falconidae,Falco sparverius,Cernícalo,American Kestrel,LC,,X
Falconidae,Falco sparverius cinnamominus,,,,,X
Falconidae,Falco sparverius fernandensis,,American Kestrel (Juan Fernandez),,EN,X(e)
Falconidae,Falco sparverius peruvianus,,,,,X
